15.573,6.5627
12.066,9.0958
11.627,7.3264
5.1421,9.6594
12.836,8.6798
12.517,0.7742
11.477,8.4674
4.423,3.2337
14.673,2.948
15.149,9.4695
5.1927,6.7202
13.668,2.9942
14.178,7.9605
5.9394,3.5341
6.5637,7.173
4.0415,8.9427
14.372,2.9364
4.0603,3.3786
14.913,4.1766
10.41,9.4736
6.0244,4.8363
15.419,7.4306
14.209,5.6898
3.4153,6.4624
4.7207,8.791
13.353,7.4539
5.0455,4.2495
16.489,10.841
6.3579,8.3015
12.925,9.4344
12.565,0.98177
8.9201,3.2882
10.026,5.8761
3.7248,10.72
5.6705,3.3
4.2537,3.368
3.9916,9.4792
16.498,8.4835
15.707,9.1689
8.9481,6.1717
