3.6011,4.2533
4.1174,8.9477
10.388,10.023
11.439,3.9568
13.249,1.9436
5.2354,4.8286
5.0755,7.5758
5.9005,11.671
14.297,10.05
3.1705,6.7022
5.6655,3.4657
4.4071,8.8488
3.9217,3.0667
3.2282,3.6162
4.8134,6.1523
4.0519,7.7998
2.0797,8.8937
1.6445,6.4847
16.197,6.9677
11.379,8.2653
11.432,7.934
17.662,7.8705
3.8742,4.1678
12.929,10.859
12.783,3.2895
14.989,6.4503
4.9151,9.2662
14.409,3.8807
17.917,5.0092
13.34,8.1427
8.6346,4.416
13.761,3.6274
8.7001,4.4349
13.817,8.6012
12.13,7.2375
18.983,6.9554
16.782,6.1835
5.8532,4.0884
4.0153,9.1027
14.165,3.0478
