4.0838,7.75
13.95,8.4346
13.69,3.6234
5.3077,3.781
3.0155,7.6953
2.5756,6.7116
14.343,3.6914
10.894,6.8014
2.9575,9.4932
10.998,8.9959
2.0199,10.018
4.7948,4.1738
13.744,7.3609
11.127,7.3822
17.876,4.8507
3.2868,8.3192
7.7716,4.0127
10.698,4.0213
10.179,4.4893
5.3917,2.9414
9.2542,3.2272
9.1539,3.4684
15.538,7.3947
8.8911,4.967
4.3001,9.3279
16.607,7.7747
12.056,6.8719
4.778,8.4292
11.81,10.376
3.8516,5.5868
14.857,7.2001
9.2442,2.6238
3.4004,6.86
15.424,7.7276
3.709,6.4675
16.37,8.8482
12.331,9.5078
13.465,7.7511
14.166,3.3982
14.668,3.6948
