14.243,8.087
6.5813,4.2526
9.8348,6.0027
8.475,3.334
15.631,8.1883
11.572,9.1955
17.327,8.1007
3.4194,8.4124
13.43,8.5964
1.9533,6.8022
13.893,3.2748
13.12,9.244
14.971,8.0629
15.377,6.774
4.7417,9.0169
4.6531,3.5337
13.639,8.9215
6.8089,8.0328
12.926,9.18
3.9586,5.7381
15.259,4.1852
14.528,3.794
13.467,2.8921
10.087,6.2998
5.4129,8.8731
14.398,2.5812
3.7997,3.9538
15.167,2.6758
4.1227,6.7817
12.812,9.324
13.065,9.6964
15.311,8.6531
15.391,8.9688
4.1439,4.9933
12.162,1.2822
12.63,2.3048
3.6209,4.3658
11.257,4.6134
3.6583,8.3771
11.119,3.618
